DOI,Author
10.2307/4331385,364
10.2307/4331928,751
10.2307/4331439,151
10.2307/4331438,85
10.2307/4331334,419
10.2307/4331496,219
10.2307/4331440,638
10.2307/4331441,688
10.2307/4331330,93
10.2307/4331330,625
10.2307/4331447,277
10.2307/4331447,625
10.2307/4330702,570
10.2307/4330703,570
10.2307/4330701,107
10.2307/4330706,151
10.2307/4330704,570
10.2307/4330705,570
10.2307/4331653,618
10.2307/4331652,261
10.2307/4331651,491
10.2307/4331650,525
10.2307/4331656,267
10.2307/4331655,451
10.2307/4331654,523
10.2307/4331659,751
10.2307/4331659,124
10.2307/4331925,815
10.2307/4330892,33
10.2307/4330677,133
10.2307/4330675,410
10.2307/4330896,588
10.2307/4330894,615
10.2307/4330895,322
10.2307/4330898,571
10.2307/4330899,588
10.2307/4330678,41
10.2307/4330679,255
10.2307/40801946,312
10.2307/40801947,367
10.2307/4330878,430
10.2307/4330879,106
10.1007/s10739-015-9410-y,715
10.2307/4330874,114
10.2307/4330877,216
10.2307/4330870,588
10.2307/4330871,588
10.2307/40801948,545
10.2307/40801949,5
10.1007/s10739-015-9414-7,65
10.1007/s10739-012-9319-7,342
10.2307/4332018,40
10.2307/4332019,488
10.1007/s10739-013-9360-1,302
10.2307/4332012,98
10.2307/4332013,127
10.2307/4332014,699
10.2307/4332015,97
10.2307/4332016,693
10.2307/4332017,23
10.1007/s10739-012-9337-5,342
10.1007/s10739-012-9337-5,420
10.1007/s10739-013-9368-6,537
10.1007/s10739-015-9418-3,712
10.2307/4331538,743
10.2307/4331539,491
10.2307/41653595,810
10.2307/41653594,523
10.2307/41653591,193
10.2307/41653590,713
10.2307/41653593,338
10.2307/41653592,419
10.2307/41653573,645
10.2307/41653572,150
10.2307/41653571,339
10.2307/41653570,359
10.2307/41653576,575
10.2307/41653575,232
10.2307/41653574,223
10.2307/4331531,377
10.2307/4331738,192
10.2307/4331739,43
10.2307/4331388,682
10.1007/s10739-014-9396-x,515
10.2307/4331732,688
10.2307/4331733,842
10.2307/4331734,253
10.2307/4331927,464
10.2307/4331736,224
10.2307/4331737,185
10.2307/4331434,130
10.2307/4331433,216
10.2307/4331920,610
10.2307/4331431,670
10.2307/4331922,585
10.2307/4331846,22
10.2307/4331029,151
10.2307/4331929,198
10.2307/4331384,368
10.2307/4331932,325
10.2307/4331933,279
10.2307/4331394,264
10.2307/4331931,125
10.2307/4331936,249
10.2307/4331393,94
10.2307/4331934,688
10.2307/4331935,796
10.2307/4331938,234
