,DOI,Topic,Weight
227,10.1007/s10739-012-9346-4,179,0.0915975124644
228,10.1007/s10739-012-9346-4,185,0.00784453935672
229,10.1007/s10739-012-9346-4,193,0.0259210118401
230,10.1007/s10739-012-9346-4,194,0.00246360261989
231,10.2307/40271555,13,0.361002195883
232,10.2307/40271555,57,0.109045206545
233,10.2307/40271555,58,0.0399555869835
234,10.2307/40271555,77,0.0524364663657
235,10.2307/40271555,78,0.0679105204052
236,10.2307/40271555,81,0.0254195015996
237,10.2307/40271555,88,0.023981339314
238,10.2307/40271555,124,0.039856746326
239,10.2307/40271555,127,0.0217907362035
240,10.2307/40271555,134,0.0381201804861
241,10.2307/40271555,158,0.0209871662664
242,10.2307/40271555,163,0.150487876948
243,10.2307/40271555,178,0.0490064766743
244,10.2307/40801951,0,0.0201489495107
245,10.2307/40801951,35,0.0482135107277
246,10.2307/40801951,51,0.101386894557
247,10.2307/40801951,57,0.216382306315
248,10.2307/40801951,77,0.0992085701515
249,10.2307/40801951,78,0.0637051778665
250,10.2307/40801951,93,0.0248287067748
251,10.2307/40801951,107,0.345977717164
252,10.2307/40801951,161,0.0499348070767
253,10.2307/40801951,186,0.0302133598557
254,10.2307/40801953,31,0.0243289879358
255,10.2307/40801953,32,0.0260001404063
256,10.2307/40801953,42,0.0411591871228
257,10.2307/40801953,57,0.415526137165
258,10.2307/40801953,58,0.0280690321996
259,10.2307/40801953,76,0.0307231450215
260,10.2307/40801953,77,0.117990353416
261,10.2307/40801953,78,0.0830205180599
262,10.2307/40801953,83,0.020588943672
263,10.2307/40801953,142,0.0277682200373
264,10.2307/40801953,158,0.0496151634819
265,10.2307/40801953,178,0.0378076519441
266,10.2307/40801953,187,0.0198457606828
267,10.2307/40801953,192,0.0569678151829
268,10.2307/40801953,193,0.020588943672
269,10.2307/40801952,13,0.129279402949
270,10.2307/40801952,16,0.0337583172714
271,10.2307/40801952,25,0.0298366278194
272,10.2307/40801952,51,0.374882591948
273,10.2307/40801952,57,0.277823538263
274,10.2307/40801952,64,0.0232099475707
275,10.2307/40801952,77,0.0232099475707
276,10.2307/40801952,158,0.0832375297943
277,10.2307/40801952,177,0.0247620968126
278,10.2307/40801955,10,0.0194337065285
279,10.2307/40801955,23,0.0300242822933
280,10.2307/40801955,53,0.0445312207205
281,10.2307/40801955,57,0.173175254292
282,10.2307/40801955,58,0.0796433569212
283,10.2307/40801955,59,0.0334030522772
284,10.2307/40801955,124,0.0317944213854
285,10.2307/40801955,158,0.159807116355
286,10.2307/40801955,161,0.0703743759573
287,10.2307/40801955,163,0.0600309136269
288,10.2307/40801955,168,0.0582658176663
289,10.2307/40801955,174,0.20066671988
290,10.2307/40801955,179,0.0388497620972
291,10.2307/40801954,2,0.0591254980612
292,10.2307/40801954,53,0.0682332257174
293,10.2307/40801954,57,0.158297329179
294,10.2307/40801954,58,0.0558309429455
295,10.2307/40801954,77,0.0240745989009
296,10.2307/40801954,94,0.0591254980612
297,10.2307/40801954,124,0.246558821541
298,10.2307/40801954,147,0.0297098273841
299,10.2307/40801954,158,0.072175695606
300,10.2307/40801954,161,0.0454957073022
301,10.2307/40801954,188,0.181372855301
302,10.1007/s10739-015-9401-z,3,0.00354720290739
303,10.1007/s10739-015-9401-z,15,0.00918380300597
304,10.1007/s10739-015-9401-z,23,0.00487357507205
305,10.1007/s10739-015-9401-z,25,0.0251587024178
306,10.1007/s10739-015-9401-z,29,0.0126785719066
307,10.1007/s10739-015-9401-z,35,0.00488775628765
308,10.1007/s10739-015-9401-z,41,0.0024657915663
309,10.1007/s10739-015-9401-z,47,0.00926598025645
310,10.1007/s10739-015-9401-z,48,0.00650886407809
311,10.1007/s10739-015-9401-z,51,0.0101037253652
312,10.1007/s10739-015-9401-z,53,0.040204725671
313,10.1007/s10739-015-9401-z,57,0.00482497457235
314,10.1007/s10739-015-9401-z,61,0.0218976415353
315,10.1007/s10739-015-9401-z,63,0.0101712144232
316,10.1007/s10739-015-9401-z,64,0.00787042908796
317,10.1007/s10739-015-9401-z,67,0.00790014238009
318,10.1007/s10739-015-9401-z,77,0.00226712589508
319,10.1007/s10739-015-9401-z,78,0.07382963245
320,10.1007/s10739-015-9401-z,85,0.00754861982692
321,10.1007/s10739-015-9401-z,101,0.0145614517508
322,10.1007/s10739-015-9401-z,108,0.0130014935934
323,10.1007/s10739-015-9401-z,110,0.00210053153508
324,10.1007/s10739-015-9401-z,111,0.0150857766319
325,10.1007/s10739-015-9401-z,123,0.00416337068891
326,10.1007/s10739-015-9401-z,124,0.00799694537224
327,10.1007/s10739-015-9401-z,129,0.00341688259901
328,10.1007/s10739-015-9401-z,137,0.420682270548
329,10.1007/s10739-015-9401-z,140,0.00210953802795
330,10.1007/s10739-015-9401-z,142,0.00315685800506
