,Identifier,Latitude,Longitude,Name,CountryCode,CountryID
364,3996063,23.0,-102.0,Mexico,MX,3996063
365,1643084,-5.0,120.0,Indonesia,ID,1643084
366,357994,27.0,30.0,Egypt,EG,357994
367,3658394,-1.25,-78.25,Ecuador,EC,3658394
368,453733,59.0,26.0,Estonia,EE,453733
369,3077311,49.75,15.0,Czechia,CZ,3077311
370,1861060,35.685359999999996,139.75309,Japan,JP,1861060
371,798544,52.0,20.0,Poland,PL,798544
372,4566966,18.24829,-66.49989000000001,Puerto Rico,PR,4566966
373,1880251,1.36667,103.8,Singapore,SG,1880251
374,2264397,39.6945,-8.13057,Portugal,PT,2264397
375,1733045,2.5,112.5,Malaysia,MY,1733045
376,3562981,22.0,-79.5,Cuba,CU,3562981
377,3865483,-34.0,-64.0,Argentina,AR,3865483
378,1605651,15.5,101.0,Thailand,TH,1605651
379,298795,39.0,35.0,Turkey,TR,298795
380,1668284,24.0,121.0,Taiwan,TW,1668284
