DOI,AboutLocation,AuthorLocation
10.2307/4331341,2921044,-1
10.2307/4331340,6252001,-1
10.2307/4331343,-1,-1
10.2307/4331342,-1,-1
10.2307/4331349,3077311,-1
10.2307/4331348,6269131,4543762
10.2307/4330508,6269131,-1
10.2307/4330509,-1,-1
10.2307/4331706,6167865,6167865
10.2307/4330500,2921044,-1
10.2307/4330500,2017370,-1
10.2307/4330503,-1,-1
10.2307/4330504,-1,-1
10.2307/4330505,-1,4887398
10.2307/4330506,6252001,-1
10.2307/4330507,2750405,-1
10.2307/4331741,6269131,-1
10.2307/4331740,2017370,-1
10.2307/4331742,6252001,-1
10.2307/4331297,-1,-1
10.2307/4331296,2077456,2759794
10.2307/4331295,6252001,5341704
10.2307/4331294,2802361,-1
10.2307/4331294,6252001,-1
10.2307/4331749,6269131,-1
10.2307/4331748,6269131,-1
10.2307/4331299,6269131,-1
10.2307/4331298,6252001,5393052
10.2307/40271488,6252001,5037649
10.2307/40271486,6252001,5128824
10.2307/40271487,6252001,2657896
10.2307/40271485,6252001,6173331
10.2307/4331129,4943140,4744709
10.2307/4331128,2017370,4930956
10.2307/4331124,2660646,-1
10.2307/4331127,3017382,2759794
10.2307/4331121,6269131,-1
10.2307/4331120,6269131,5128581
10.2307/4331123,6269131,-1
10.2307/4331122,6269131,-1
10.2307/4331909,3017382,-1
10.2307/4331908,2921044,-1
10.2307/4331903,2921044,-1
10.2307/4331901,6252001,-1
10.2307/4331907,6269131,-1
10.2307/4331906,6252001,-1
10.2307/4331905,2510769,-1
10.2307/4331904,4398678,-1
10.2307/4331639,6252001,-1
10.2307/4331638,6252001,-1
10.2307/4330725,2921044,4931972
10.2307/4330726,2510769,2509954
10.2307/4330727,390903,5100748
10.2307/4330728,6252001,5261457
10.2307/4330729,3077311,5969423
10.2307/4331633,6269131,2643743
10.2307/4331632,-1,-1
10.2307/4331635,6269131,-1
10.2307/4331634,6269131,5809844
10.2307/4331637,2921044,2800866
10.2307/4331637,2802361,2800866
10.2307/4331636,6269131,2644688
10.2307/4331954,2921044,-1
10.2307/4331957,6252001,-1
10.2307/4331957,2658434,-1
10.2307/40271569,-1,-1
10.2307/40271568,2761369,-1
10.2307/4331952,6252001,-1
10.2307/4331953,-1,-1
10.2307/4330654,6269131,5327684
10.2307/4330655,6269131,4930956
10.2307/4330656,2510769,4930956
10.2307/4330657,5327684,5327684
10.2307/4330651,390903,5368361
10.2307/4330652,2921044,6167865
10.2307/4330652,3017382,6167865
10.2307/4330653,6252001,4930956
10.2307/4330653,6269131,4930956
10.2307/4331958,6269131,-1
10.2307/4331959,390903,-1
10.2307/29737518,6252001,-1
10.2307/29737519,5855797,-1
10.2307/29737519,6269131,-1
10.2307/29737516,2782113,-1
10.2307/29737517,-1,-1
10.2307/29737514,6269131,4254679
10.2307/29737515,2017370,6167865
10.2307/29737510,-1,-1
10.2307/29737511,6252001,-1
10.2307/4331558,6252001,-1
10.2307/4331558,6251999,-1
10.2307/4331559,-1,-1
10.2307/4331009,6269131,5122432
10.2307/4330644,2921044,2614481
10.2307/4330644,3017382,2614481
10.2307/4331550,-1,-1
10.2307/4331551,2921044,-1
10.2307/4331552,6252001,-1
10.2307/4331553,6252001,-1
10.2307/4331005,3017382,-1
10.2307/4331352,390903,293725
10.2307/4331353,6269131,5327684
10.2307/4331350,2921044,-1
10.2307/4331350,6269131,-1
10.2307/4331351,6269131,5327684
10.2307/4331356,-1,-1
10.2307/4331357,-1,-1
10.2307/4331354,-1,-1
10.2307/4331355,6269131,-1
10.2307/4331358,6252001,-1
10.2307/4331826,6252001,4140963
10.2307/4331795,4801859,-1
10.2307/4330535,6252001,4771075
10.2307/4330534,6252001,5150529
10.2307/4330534,6269131,5150529
10.2307/4330537,-1,-1
10.2307/4330536,-1,4254679
10.2307/4330531,6269131,4887398
10.2307/4330530,3017382,-1
10.2307/4330533,6252001,5159537
10.2307/4330532,2017370,4931972
10.2307/4330539,2802361,4931972
10.2307/4331758,2629691,2643123
10.2307/4331759,6252001,4351977
10.2307/4331759,6269131,4351977
10.2307/4331757,2921044,4839366
10.2307/4331752,6269131,-1
10.2307/4331750,6269131,-1
10.2307/4331280,6252001,2875601
10.2307/4331280,6269131,2875601
10.2307/4331281,3017382,-1
10.2307/4331282,1861060,1849053
10.2307/4331283,2921044,5102922
10.2307/4331284,6269131,5107129
10.2307/4331285,-1,-1
10.2307/4331286,-1,-1
10.2307/4331287,-1,-1
10.2307/4331289,6252001,-1
10.2307/40271494,6252001,-1
10.2307/40271493,-1,-1
10.2307/4331132,2921044,-1
10.2307/4331133,6252001,5224151
