DOI,Relation,GeoNamesID
10.2307/4331574,content,1650535
10.2307/4331574,content,1648148
10.2307/4331802,content,6269131
10.2307/4331775,content,6252001
10.2307/4331801,content,357994
10.2307/4331801,content,3017382
10.2307/4331806,content,6269131
10.2307/4331806,author,4931972
10.2307/4331804,content,6252001
10.2307/4331804,author,281184
10.2307/4331804,content,6269131
10.2307/4331804,author,281184
10.2307/4331804,content,2017370
10.2307/4331804,author,281184
10.2307/4331805,author,4780837
10.2307/4331779,content,6252001
10.2307/4331779,author,2643743
10.2307/4331598,content,6269131
10.2307/4331599,content,2921044
10.2307/4331595,content,3017382
10.2307/4331597,content,2921044
10.2307/4331590,content,6252001
10.2307/4331591,content,2077456
10.2307/4331592,content,5744337
10.2307/4331592,content,5815135
10.2307/4331592,content,5909050
10.2307/4331110,content,2921044
10.2307/4331110,author,4931972
10.2307/4331112,content,6251999
10.2307/4331116,content,6269131
10.2307/4331116,author,4180439
10.2307/4331117,content,6269131
10.2307/4331117,author,4843786
10.2307/4331118,content,6252001
10.2307/4331118,author,5261457
10.2307/4331119,content,6252001
10.2307/4331119,author,4509177
10.2307/4331974,content,6252001
10.2307/4331974,author,4839822
10.2307/4331975,content,6251999
10.2307/4331972,content,6269131
10.2307/4331970,content,2921044
10.2307/4330580,content,2921044
10.2307/4330581,content,390903
10.2307/4330581,author,5134086
10.2307/4330733,content,6269131
10.2307/4330732,content,3017382
10.2307/4330731,content,4407066
10.2307/4330731,author,4407066
10.2307/4330730,content,6269131
10.2307/4330730,author,4954380
10.2307/4330737,content,6269131
10.2307/4330736,content,390903
10.2307/4330734,content,2750405
10.2307/4330734,content,2017370
10.2307/4331604,content,4347778
10.2307/4331605,content,6252001
10.2307/4331606,content,6252001
10.2307/4330738,content,6269131
10.2307/4331603,content,3017382
10.2307/4331517,content,6252001
10.2307/40271537,content,4155751
10.2307/4331053,content,6269131
10.2307/4331053,author,4558942
10.2307/4331510,content,6252001
10.2307/4331510,author,2800866
10.2307/4331055,content,6252001
10.2307/4331054,content,2921044
10.2307/4331054,author,4845419
10.2307/4331054,content,6252001
10.2307/4331054,author,4845419
10.2307/4330647,content,3017382
10.2307/4330647,author,8469294
10.2307/4330646,content,6269131
10.2307/4330646,author,5327684
10.2307/4330645,author,5720727
10.2307/40271531,content,3658931
10.2307/40271531,author,5327684
10.2307/4330643,content,6252001
10.2307/4330643,author,4835797
10.2307/4330642,content,453733
10.2307/4331512,content,6252001
10.2307/4331512,author,4560349
10.2307/29737522,content,6252001
10.2307/29737521,content,6252001
10.2307/29737521,content,2782113
10.2307/29737520,content,5327684
10.2307/29737527,content,6252001
10.2307/29737525,content,6252001
10.2307/4332000,content,2921044
10.2307/4331345,content,2921044
10.2307/4331344,content,6252001
10.2307/4331341,content,2921044
10.2307/4331340,content,6252001
10.2307/4331349,content,3077311
10.2307/4331348,content,6269131
10.2307/4331348,author,4543762
10.2307/4330508,content,6269131
10.2307/4331706,content,6167865
10.2307/4331706,author,6167865
10.2307/4330500,content,2921044
10.2307/4330500,content,2017370
10.2307/4330505,author,4887398
10.2307/4330506,content,6252001
10.2307/4330507,content,2750405
10.2307/4331741,content,6269131
10.2307/4331740,content,2017370
10.2307/4331742,content,6252001
10.2307/4331296,content,2077456
10.2307/4331296,author,2759794
10.2307/4331295,content,6252001
10.2307/4331295,author,5341704
10.2307/4331294,content,2802361
10.2307/4331294,content,6252001
10.2307/4331749,content,6269131
10.2307/4331748,content,6269131
10.2307/4331299,content,6269131
10.2307/4331298,content,6252001
10.2307/4331298,author,5393052
10.2307/40271488,content,6252001
10.2307/40271488,author,5037649
10.2307/40271486,content,6252001
10.2307/40271486,author,5128824
10.2307/40271487,content,6252001
10.2307/40271487,author,2657896
10.2307/40271485,content,6252001
10.2307/40271485,author,6173331
10.2307/4331129,content,4943140
10.2307/4331129,author,4744709
10.2307/4331128,content,2017370
10.2307/4331128,author,4930956
10.2307/4331124,content,2660646
10.2307/4331127,content,3017382
10.2307/4331127,author,2759794
10.2307/4331121,content,6269131
10.2307/4331120,content,6269131
10.2307/4331120,author,5128581
10.2307/4331123,content,6269131
10.2307/4331122,content,6269131
10.2307/4331909,content,3017382
10.2307/4331908,content,2921044
10.2307/4331903,content,2921044
10.2307/4331901,content,6252001
10.2307/4331907,content,6269131
10.2307/4331906,content,6252001
10.2307/4331905,content,2510769
10.2307/4331904,content,4398678
10.2307/4331639,content,6252001
10.2307/4331638,content,6252001
10.2307/4330725,content,2921044
10.2307/4330725,author,4931972
10.2307/4330726,content,2510769
10.2307/4330726,author,2509954
10.2307/4330727,content,390903
10.2307/4330727,author,5100748
10.2307/4330728,content,6252001
10.2307/4330728,author,5261457
10.2307/4330729,content,3077311
10.2307/4330729,author,5969423
10.2307/4331633,content,6269131
10.2307/4331633,author,2643743
10.2307/4331635,content,6269131
10.2307/4331634,content,6269131
10.2307/4331634,author,5809844
10.2307/4331637,content,2921044
10.2307/4331637,author,2800866
10.2307/4331637,content,2802361
10.2307/4331637,author,2800866
10.2307/4331636,content,6269131
10.2307/4331636,author,2644688
10.2307/4331954,content,2921044
10.2307/4331957,content,6252001
10.2307/4331957,content,2658434
10.2307/40271568,content,2761369
10.2307/4331952,content,6252001
10.2307/4330654,content,6269131
10.2307/4330654,author,5327684
10.2307/4330655,content,6269131
10.2307/4330655,author,4930956
10.2307/4330656,content,2510769
10.2307/4330656,author,4930956
10.2307/4330657,content,5327684
10.2307/4330657,author,5327684
10.2307/4330651,content,390903
10.2307/4330651,author,5368361
10.2307/4330652,content,2921044
10.2307/4330652,author,6167865
10.2307/4330652,content,3017382
10.2307/4330652,author,6167865
10.2307/4330653,content,6252001
10.2307/4330653,author,4930956
10.2307/4330653,content,6269131
10.2307/4330653,author,4930956
10.2307/4331958,content,6269131
10.2307/4331959,content,390903
10.2307/29737518,content,6252001
10.2307/29737519,content,5855797
10.2307/29737519,content,6269131
10.2307/29737516,content,2782113
10.2307/29737514,content,6269131
10.2307/29737514,author,4254679
10.2307/29737515,content,2017370
10.2307/29737515,author,6167865
10.2307/29737511,content,6252001
10.2307/4331558,content,6252001
10.2307/4331558,content,6251999
10.2307/4331009,content,6269131
10.2307/4331009,author,5122432
10.2307/4330644,content,2921044
10.2307/4330644,author,2614481
10.2307/4330644,content,3017382
10.2307/4330644,author,2614481
10.2307/4331551,content,2921044
10.2307/4331552,content,6252001
10.2307/4331553,content,6252001
10.2307/4331005,content,3017382
10.2307/4331352,content,390903
10.2307/4331352,author,293725
10.2307/4331353,content,6269131
10.2307/4331353,author,5327684
10.2307/4331350,content,2921044
10.2307/4331350,content,6269131
10.2307/4331351,content,6269131
10.2307/4331351,author,5327684
10.2307/4331355,content,6269131
10.2307/4331358,content,6252001
10.2307/4331826,content,6252001
10.2307/4331826,author,4140963
10.2307/4331795,content,4801859
10.2307/4330535,content,6252001
10.2307/4330535,author,4771075
10.2307/4330534,content,6252001
10.2307/4330534,author,5150529
10.2307/4330534,content,6269131
10.2307/4330534,author,5150529
10.2307/4330536,author,4254679
10.2307/4330531,content,6269131
10.2307/4330531,author,4887398
10.2307/4330530,content,3017382
10.2307/4330533,content,6252001
10.2307/4330533,author,5159537
10.2307/4330532,content,2017370
10.2307/4330532,author,4931972
10.2307/4330539,content,2802361
10.2307/4330539,author,4931972
10.2307/4331758,content,2629691
10.2307/4331758,author,2643123
10.2307/4331759,content,6252001
10.2307/4331759,author,4351977
10.2307/4331759,content,6269131
10.2307/4331759,author,4351977
10.2307/4331757,content,2921044
10.2307/4331757,author,4839366
10.2307/4331752,content,6269131
10.2307/4331750,content,6269131
10.2307/4331280,content,6252001
10.2307/4331280,author,2875601
10.2307/4331280,content,6269131
10.2307/4331280,author,2875601
10.2307/4331281,content,3017382
10.2307/4331282,content,1861060
10.2307/4331282,author,1849053
10.2307/4331283,content,2921044
10.2307/4331283,author,5102922
10.2307/4331284,content,6269131
10.2307/4331284,author,5107129
10.2307/4331289,content,6252001
10.2307/40271494,content,6252001
10.2307/4331132,content,2921044
10.2307/4331133,content,6252001
10.2307/4331133,author,5224151
10.2307/4331130,content,6269131
10.2307/4331130,author,5224151
10.2307/4331131,author,5224151
10.2307/4331137,content,2921044
10.2307/4331134,content,2921044
10.2307/4331918,content,6269131
10.2307/4331918,content,2921044
10.2307/4331919,content,6269131
10.2307/4331919,author,4347778
10.2307/4331910,content,6252001
10.2307/4331911,content,6252001
10.2307/4331912,content,6252001
10.2307/4331913,content,6252001
10.2307/4331916,content,6269131
10.2307/4331916,author,4174715
10.2307/4331917,content,6269131
10.2307/4331917,author,2655984
10.2307/4330719,content,2510769
10.2307/4330718,content,6269131
10.2307/4330715,content,6252001
10.2307/4330715,author,5368361
10.2307/4330714,content,390903
10.2307/4330714,author,4297983
10.2307/4330717,content,6269131
10.2307/4330711,content,6269131
10.2307/4330711,author,2655603
10.2307/4330710,content,6252001
10.2307/4330710,author,6167865
10.2307/4330713,content,6252001
10.2307/4330713,author,5261457
10.2307/4330713,content,2921044
10.2307/4330713,author,5261457
10.2307/4330713,content,6269131
10.2307/4330713,author,5261457
10.2307/4330712,author,5128581
10.2307/4331627,content,6252001
10.2307/4331622,content,5843591
10.2307/4331620,content,6269131
10.2307/4331621,content,6252001
10.2307/4331629,content,2921044
10.2307/4330669,content,390903
10.2307/4330669,author,5109177
10.2307/4330668,content,6269131
10.2307/4330668,author,6167865
10.2307/4330887,content,2643743
10.2307/4330881,content,6269131
10.2307/4330881,author,2172517
10.2307/4330880,content,390903
10.2307/4330880,author,5263045
10.2307/4330883,content,6252001
10.2307/4330882,author,4407066
10.2307/4330663,content,3017382
10.2307/4330663,content,6252001
10.2307/4330663,content,6269131
10.2307/4330667,content,6269131
10.2307/4330667,author,6183235
10.2307/4330666,content,6269131
10.2307/4330666,author,4843786
10.2307/4330868,content,3017382
10.2307/4330866,content,2510769
10.2307/4330866,author,4562144
10.2307/4330865,content,6269131
10.2307/4330865,author,2171507
10.2307/4330865,content,2750405
10.2307/4330865,author,2171507
10.2307/4330864,content,390903
10.2307/4330864,author,2792413
10.2307/4330863,content,6269131
10.2307/4330863,author,2643743
10.2307/4330862,author,3530597
10.2307/4330861,author,6077243
10.2307/29737501,content,6269131
10.2307/29737501,content,2017370
10.2307/29737500,content,6269131
10.2307/29737500,author,5746545
10.2307/29737503,content,6269131
10.2307/29737503,content,1269750
10.2307/29737505,content,6252001
10.2307/29737505,content,3469034
10.2307/29737504,content,3017382
10.2307/29737507,content,6252001
10.2307/29737509,content,6269131
10.2307/4331072,content,6252001
10.2307/4332009,content,2017370
10.2307/4332008,content,6252001
10.2307/4331071,content,6269131
10.2307/4332001,content,6252001
10.2307/4331070,content,6269131
10.2307/4331070,author,2643123
10.2307/4332007,content,6252001
10.2307/4332006,content,6252001
10.2307/41653588,content,5332921
10.2307/41653589,content,5417618
10.2307/41653589,author,5318313
10.2307/4330522,content,6252001
10.2307/4330522,author,4347778
10.2307/4330523,content,2638236
10.2307/4330523,author,4381982
10.2307/4330520,content,6269131
10.2307/4330520,author,4991640
10.2307/4330521,author,2657832
10.2307/4330526,content,2017370
10.2307/4330524,author,5206379
10.2307/41653567,content,2017370
10.2307/41653567,author,5128581
10.2307/41653567,content,2017370
10.2307/41653567,author,6167865
10.2307/41653568,content,6252001
10.2307/41653568,author,4560349
10.2307/41653569,content,6252001
10.2307/41653569,author,5368361
10.2307/41653569,content,2017370
10.2307/41653569,author,5368361
10.2307/4330529,content,390903
10.2307/4331723,content,2921044
10.2307/4331722,content,2782113
10.2307/4331721,content,5879092
10.2307/4331720,content,6252001
10.2307/4331720,content,6251999
10.2307/4331720,content,2077456
10.2307/4331720,content,2186224
10.2307/4331724,content,3077311
10.2307/4330525,content,6252001
10.2307/4330525,author,4931972
10.2307/4330975,content,6252001
10.2307/4330975,author,4347778
10.2307/4330974,author,5122432
10.2307/4331437,content,6252001
10.2307/4331437,author,5045360
10.2307/4331437,content,6252001
10.2307/4331437,author,4543762
10.2307/4331436,content,6269131
10.2307/4331435,content,6252001
10.2307/4331926,content,6269131
10.2307/4331921,content,6269131
10.2307/4331921,author,5206379
10.2307/4331432,content,2017370
10.2307/4331432,author,5391959
10.2307/4331432,content,2921044
10.2307/4331432,author,5391959
10.2307/4331923,author,5391959
