Author,Name
107,Kathleen E Duffin
588,Shirley A Roe
659,Virginia P Dawson
590,Susan Rensing
754,Daniel Kevles
592,Emel Aileen GöKyiḡIt
593,Jorge CañIzares-Esguerra
594,Cara Kinzelman
595,Warwick Anderson
596,Robert N Paddle
266,Susie Fisher
598,Sue A Tolin
708,Christopher Hamlin
599,Samuel J M M Alberti
600,John S Emrich
601,Lisa Onaga
602,Edmund Berkeley
603,James R Jackson
604,Christian C Young
605,D P Crook
606,J David Archibald
607,Allen G Debus
608,Roderick W Home
338,Michel Morange
610,Pietro Corsi
611,Josef Broz̆Ek
612,Susan Mcmahon
613,MikuláŠ Teich
353,Jan Sapp
615,Joel S Schwartz
370,Staffan MüEller-Wille
452,Dorothy Porter
698,Antony Adler
808,Eliza Slavet
619,Daniel J Nicholson
620,Peter A Bretscher
546,George Grinnell
409,Jean-Paul GaudillièRe
413,David Biggs
624,Kristen L Zacharias
625,Alfred I Tauber
626,Catherine A Christen
627,Paul Gary Werskey
421,William Kimler
132,LéO F Laporte
445,Raf De Bont
360,Neeraja Sankaran
632,Anne Harrington
633,Thomas Potthast
461,Judith P Swazey
635,Emily K Wilson
636,Kenneth F Schaffner
637,Gregory J Morgan
638,Mary P Winsor
639,Paul Josephson
640,Barbara R Stein
642,James F Crow
643,Bruce H Weber
644,M J S Hodge
645,Laurence Schneider
837,David Tomblin
646,Pauline M H Mazumdar
124,Garland Allen
648,Abraham D Krikorian
127,Jonathan Harwood
527,Alice Levine Baxter
651,William Bechtel
652,Elof Axel Carlson
685,Li Jianhui
541,Stephen G Alter
313,Sharon Kingsland
569,Anthony Preus
657,Steven J Zottoli
658,Paul White
589,Jim Endersby
660,Doris Zallen
661,Robert J Richards
662,David P Robertson
663,John Farley
664,Christiane Groeben
810,Nathan Crowe
666,Abraham H Gibson
667,Rachel Mason Dentinger
668,Erika Lorraine Milam
669,Marc Swetlitz
670,Edward A Eigen
671,Anne Firor Scott
672,Andrew Reynolds
673,Morton Beckner
674,John C Burnham
675,Maryanne Cline Horowitz
677,Petra Werner
791,Gail Schmitt
678,Yi Lai Christine Luk
2,Richard C Lewontin
680,Christopher J Manganiello
681,Robyn Braun
682,Iris Fry
17,Karen A Rader
684,Helen J Blackman
641,Mark A Waddell
769,Mary E Sunderland
686,Juan Ilerbaig
687,Henning Schmidgen
42,Mike Fortun
689,Vanessa Heggie
690,Michael F Frampton
691,Michael D Barton
795,Rony Armon
692,Hong Fan
695,Bruno J Strasser
693,Thomas Wieland
697,Karel Kleisner
550,Kurt Jax
699,Barbara A Kimmelman
700,Jane Carruthers
701,Paul J Morris
702,Koscak Maruyama
703,Barbara G Beddall
704,Lloyd Ackert
84,Lynn Nyhart
706,Dorinda Outram
707,David W Ss Rudge
694,David N Stamos
108,Roberta L Millstein
710,W F Bynum
116,M EulàLia Gassó Miracle
712,Karl S Matlin
29,Howard Hsueh-Hao Chiang
129,Sahotra Sarkar
715,Joeri Witteveen
716,Denys N Wheatley
141,Rebecca M Kluchin
718,Edna Suárez-Díaz
719,Roy Macleod
259,Pnina G Abir-Am
721,Laurent Loison
146,John P Jackson Jr
722,Olivier Lagueux
723,William J Haas
237,James Strick
725,Michael A Osborne
726,Kristin Johnson
727,John T Edsall
530,Alan H Bornbusch
729,Lorne Hammond
212,John Scarborough
98,Paul L Farber
732,Javier Moscoso
733,Ahuva Gaziel
734,Carlo Castellani
735,Dominic Klyve
176,Eve E Buckley
737,Erik M Conway
738,Alison Kraft
7,Mott Greene
740,Philip F Rehbock
741,María Jesús Santesmases
742,Kaat Schulte Fischedick
743,Edward J Larson
288,Elizabeth B Keeney
745,Doug Russell
184,V B Smocovitis
324,Diana L Hall
748,Joshua Blu Buhs
749,John R Jungck
750,J W Atkinson
751,Jane Maienschein
752,Phillip Thurtle
566,Thomas S Hall
753,Matthew Morris
754,Daniel J Kevles
755,John N Prebble
756,Mathias Grote
359,Michael D Gordin
758,Jasmine A Garamella
759,Peter L Schmitthenner
531,VíTěZslav Orel
761,Jay Joseph
762,Kele Cable
763,Michael Dietrich
764,Kurk Dorsey
765,Ismael Ledesma-Mateos
766,F R Shtil'Mark
767,Marc J Ratcliff
106,P F Stevens
768,"Robert G Frank, Jr"
769,Mary Evelyn Sunderland
448,Sally G Kohlstedt
575,Gregory Radick
772,Hannah Landecker
773,Susan M Mooney
774,Bartlomiej Swiatczak
775,Peter S Greene
776,Conway Zirkle
777,Donald R Forsdyke
778,Eva Becsei-Kilborn
503,Michael Paul Kinch
780,Evelynn M Hammonds
781,Faye Marie Getz
782,Ricardo Noguera-Solano
783,Charles T Wolfe
784,Maria Paula Diogo
521,Hans Spemann
786,William P D Wightman
631,Jay Aronson
787,Miles B Markus
788,Leila Zenderland
789,Karen-Beth G Scholthof
205,Katharine Park
180,Muriel Lederman
792,Michael T Ghiselin
793,Maxine Sheets-Johnstone
565,Nathan Q Ha
688,Joe Cain
796,Keith R Benson
797,Jaap J Beintema
798,M Timm Hoffman
799,Robin Wolfe Scheffler
591,John C Waller
801,Michael Letteney
802,Keir B Sterling
803,Lijing Jiang
804,Christopher E Cosans
805,Bentley Glass
806,Arthur F Mcevoy
807,Christopher S W Koehler
618,Lynda Payne
763,Michael R Dietrich
665,Kenneth M Ludmerer
811,James Elwick
812,Timothy L Alborn
813,Andrew S Winston
814,Peter Hobbins
815,Edmund Russell
816,Karl H Dannenfeldt
156,Kim Kleinman
818,Margaret Campbell
71,Silvan S Schweber
820,Marion Thomas
821,Arnold G Van Der Valk
822,William M Montgomery
676,Johannes Morsink
